19:39:58.549 [main]INFO  com.test.testcases.SearchTest - Search Executed, Product not Found
19:40:01.388 [main]INFO  com.test.testcases.SearchTest - Search Executed, Product not Found
19:40:42.370 [main]INFO  com.test.testcases.SearchTest - Search Executed, Product not Found
19:40:44.320 [main]INFO  com.test.testcases.SearchTest - Search Executed, Product not Found
19:47:12.149 [main]INFO  com.test.testcases.SearchTest - Search Executed, Product not Found
19:47:14.008 [main]INFO  com.test.testcases.SearchTest - Search Executed, Product not Found
22:55:32.240 [main]INFO  com.test.testcases.SearchTest - Search Executed, Product not Found
22:55:33.963 [main]INFO  com.test.testcases.SearchTest - Search Executed, Product not Found
23:08:30.177 [main]INFO  com.test.testcases.SearchTest - Search Executed, Product not Found
23:08:31.897 [main]INFO  com.test.testcases.SearchTest - Search Executed, Product not Found
23:09:56.572 [main]INFO  com.test.testcases.SearchTest - Search Executed, Product not Found
23:09:58.317 [main]INFO  com.test.testcases.SearchTest - Search Executed, Product not Found
23:31:02.510 [main]INFO  com.test.testcases.SearchTest - Search Executed, Product not Found
23:31:04.240 [main]INFO  com.test.testcases.SearchTest - Search Executed, Product not Found
